Date,Month,Store_ID,Store_Name,Region,Format,Footfall,Transactions,Conversion_Rate,Basket_Size_VND,Units_Per_Transaction,Avg_Selling_Price_VND,Revenue_Target_VND,Revenue_Actual_VND,Gross_Margin_Rate,Shrinkage_Amt_VND,Shrinkage_Rate,Operating_Cost_VND,Operating_Cost_Rate,Labor_Hours,OT_Hours,Productivity_VND_per_Labor_Hour,Productivity_Target_VND_per_Labor_Hour,Attendance_Rate,Audit_Score,Stock_Availability_Rate,NPS,Complaints,On_Time_Opening_Flag,Target_Attainment_Pct
2025-01-03,2025-01-01,S008,Hue Riverside,Central,Convenience Plus,921,246,0.2668,303255,4.23,71691,68882135,74600730,0.2068,417764,0.0056,11600414,0.1555,84,11.4,888104,337040,0.9725,80.1,0.9924,56.8,4,1,1.083
2025-01-03,2025-01-01,S009,Can Tho Market,South,Convenience Plus,1201,252,0.2102,302412,4.16,72695,57502181,76207824,0.2487,365798,0.0048,11949387,0.1568,86,3.9,886137,284862,0.9561,88.7,0.9651,73.9,2,1,1.3253
2025-01-03,2025-01-01,S010,Bien Hoa Value,South,Supermarket,1802,487,0.2703,268844,3.86,69649,101431376,130927028,0.2124,1152158,0.0088,19180810,0.1465,125,17.0,1047416,506001,0.9409,91.5,0.9769,65.8,3,1,1.2908
2025-01-04,2025-01-01,S001,Vincom Central,South,Hypermarket,2491,516,0.207,317410,2.51,126458,130591741,163783560,0.218,704269,0.0043,20374675,0.1244,232,17.6,705964,662964,0.9689,89.8,0.9765,71.2,2,1,1.2542
2025-01-04,2025-01-01,S002,District 7 Hub,South,Supermarket,1162,306,0.2633,238676,2.96,80634,65615698,73034856,0.1889,598886,0.0082,10465895,0.1433,164,20.9,445334,366956,0.9376,82.9,0.9709,68.0,0,1,1.1131
2025-01-04,2025-01-01,S003,Thu Duc Family,South,Supermarket,1830,417,0.2278,332111,3.7,89760,120838271,138490287,0.2134,803244,0.0058,19997997,0.1444,135,5.0,1025854,361703,0.969,93.9,0.9746,71.2,5,1,1.1461
2025-01-04,2025-01-01,S004,Ha Noi Prime,North,Hypermarket,2348,651,0.2771,333704,3.32,100513,220063876,217241304,0.2136,1803103,0.0083,29762059,0.137,250,14.3,868965,608236,0.955,89.8,0.9818,76.3,1,1,0.9872
2025-01-04,2025-01-01,S005,Cau Giay Fresh,North,Supermarket,1376,277,0.2011,277435,3.7,74982,61343679,76849495,0.2109,322768,0.0042,9644612,0.1255,130,7.5,591150,371390,0.969,96.7,0.9772,60.9,4,1,1.2528
2025-01-04,2025-01-01,S006,Hai Phong Gateway,North,Supermarket,2134,491,0.2301,264264,3.02,87505,120898687,129753624,0.2604,674719,0.0052,18217409,0.1404,145,12.8,894853,454800,0.9819,87.4,0.9682,64.6,2,1,1.0732
2025-01-04,2025-01-01,S007,Da Nang Beachside,Central,Supermarket,1766,342,0.1939,243103,3.29,73891,82718314,83141226,0.187,390764,0.0047,9835607,0.1183,141,8.8,589654,380916,0.9606,85.6,0.9662,65.7,3,0,1.0051
2025-01-04,2025-01-01,S008,Hue Riverside,Central,Convenience Plus,1024,272,0.2653,347061,4.49,77296,78843118,94400592,0.214,575844,0.0061,13046162,0.1382,79,3.6,1194944,337040,0.9768,95.9,0.977,55.2,5,1,1.1973
2025-01-04,2025-01-01,S009,Can Tho Market,South,Convenience Plus,1112,245,0.2203,288835,2.5,115534,65817520,70764575,0.2284,268905,0.0038,11279873,0.1594,93,10.3,760909,284862,0.9586,96.6,0.9693,75.9,0,1,1.0752
2025-01-04,2025-01-01,S010,Bien Hoa Value,South,Supermarket,1750,477,0.2726,261312,2.54,102879,116099275,124645824,0.2222,972237,0.0078,17064013,0.1369,133,17.5,937187,506001,0.9478,86.0,0.9835,74.9,5,0,1.0736
2025-01-05,2025-01-01,S001,Vincom Central,South,Hypermarket,2537,517,0.2037,324192,3.05,106292,130591741,167607264,0.2093,553104,0.0033,19291596,0.1151,215,4.4,779569,662964,0.9505,90.5,0.9952,71.7,4,1,1.2834
2025-01-05,2025-01-01,S002,District 7 Hub,South,Supermarket,1310,308,0.2348,236798,3.92,60408,65615698,72933784,0.1914,481363,0.0066,9955462,0.1365,157,13.1,464546,366956,0.9801,91.1,0.9704,69.5,6,1,1.1115
2025-01-05,2025-01-01,S003,Thu Duc Family,South,Supermarket,1816,360,0.198,333383,2.73,122118,120838271,120017880,0.1998,840125,0.007,16490457,0.1374,135,8.0,889021,361703,0.9713,89.5,0.9772,76.7,0,1,0.9932
2025-01-05,2025-01-01,S004,Ha Noi Prime,North,Hypermarket,2526,690,0.2732,354792,3.72,95374,220063876,244806480,0.2232,1836049,0.0075,32167571,0.1314,244,5.9,1003305,608236,0.966,83.8,0.9804,78.1,3,1,1.1124
2025-01-05,2025-01-01,S005,Cau Giay Fresh,North,Supermarket,1363,289,0.2118,253498,3.54,71610,61343679,73260922,0.2137,351652,0.0048,9091680,0.1241,128,10.8,572351,371390,0.959,98,0.9638,61.0,5,0,1.1943
2025-01-05,2025-01-01,S006,Hai Phong Gateway,North,Supermarket,2164,509,0.2352,279584,3.28,85239,120898687,142308256,0.2644,640387,0.0045,18585458,0.1306,142,4.4,1002171,454800,0.9743,88.8,0.9739,78.4,3,1,1.1771
2025-01-05,2025-01-01,S007,Da Nang Beachside,Central,Supermarket,1674,355,0.212,254494,3.5,72713,82718314,90345370,0.1918,469796,0.0052,12133383,0.1343,150,10.1,602302,380916,0.9792,91.4,0.979,69.6,3,1,1.0922
2025-01-05,2025-01-01,S008,Hue Riverside,Central,Convenience Plus,972,247,0.2545,331475,2.89,114697,78843118,81874325,0.2177,401184,0.0049,11806278,0.1442,94,16.0,871003,337040,0.9955,96.0,0.9759,68.6,1,1,1.0384
2025-01-05,2025-01-01,S009,Can Tho Market,South,Convenience Plus,1182,236,0.2001,291538,3.72,78370,65817520,68802968,0.245,158247,0.0023,10526854,0.153,92,6.9,747858,284862,0.9717,89.5,0.9765,72.1,0,1,1.0454
2025-01-05,2025-01-01,S010,Bien Hoa Value,South,Supermarket,1926,511,0.2654,290059,3.38,85816,116099275,148220149,0.222,1170939,0.0079,18512697,0.1249,130,9.6,1140155,506001,0.9554,93.7,0.964,71.4,7,1,1.2767
2025-01-06,2025-01-01,S001,Vincom Central,South,Hypermarket,1937,424,0.2189,290161,4.57,63493,110769780,123028264,0.2142,615141,0.005,16387365,0.1332,207,7.6,594339,662964,0.963,86.9,0.9786,69.6,2,0,1.1107
2025-01-06,2025-01-01,S002,District 7 Hub,South,Supermarket,949,219,0.2303,242472,4.53,53526,55656172,53101368,0.1819,313298,0.0059,6993450,0.1317,152,11.3,349351,366956,0.9703,85.8,0.9675,66.7,2,1,0.9541
2025-01-06,2025-01-01,S003,Thu Duc Family,South,Supermarket,1687,350,0.2075,335169,3.76,89141,102496748,117309150,0.1991,692124,0.0059,15801543,0.1347,118,0,994145,361703,0.9631,85.9,0.9746,69.6,4,0,1.1445
2025-01-06,2025-01-01,S004,Ha Noi Prime,North,Hypermarket,1942,508,0.2615,322942,3.19,101236,186661323,164054536,0.2122,1378058,0.0084,20506817,0.125,223,3.5,735671,608236,0.9686,92.1,0.9766,66.4,1,1,0.8789
2025-01-06,2025-01-01,S005,Cau Giay Fresh,North,Supermarket,1030,209,0.2033,253810,3.87,65584,52032585,53046290,0.2247,323582,0.0061,6848276,0.1291,123,5.7,431271,371390,0.9559,89.1,0.9706,76.0,2,1,1.0195
2025-01-06,2025-01-01,S006,Hai Phong Gateway,North,Supermarket,1714,427,0.2493,275782,2.63,104860,102547994,117758914,0.2553,836088,0.0071,17004387,0.1444,135,6.3,872288,454800,0.9601,90.8,0.9734,70.4,2,1,1.1483
2025-01-06,2025-01-01,S007,Da Nang Beachside,Central,Supermarket,1611,348,0.2161,251716,4.39,57338,70162856,87597168,0.1998,464265,0.0053,10047395,0.1147,124,0,706429,380916,0.9714,94.7,0.9801,73.4,3,1,1.2485
2025-01-06,2025-01-01,S008,Hue Riverside,Central,Convenience Plus,839,206,0.2454,335759,2.47,135935,66875859,69166354,0.2062,325082,0.0047,9392791,0.1358,73,0,947484,337040,0.9903,96.1,0.9747,71.8,4,1,1.0342
2025-01-06,2025-01-01,S009,Can Tho Market,South,Convenience Plus,901,202,0.2238,310919,4.53,68636,55827361,62805638,0.2342,270064,0.0043,9810241,0.1562,90,11.9,697840,284862,0.9866,85.9,0.9705,72.4,3,1,1.125
2025-01-06,2025-01-01,S010,Bien Hoa Value,South,Supermarket,1554,374,0.2409,261583,2.98,87780,98477064,97832042,0.2133,743524,0.0076,13921500,0.1423,121,10.3,808529,506001,0.9511,92.8,0.9783,62.8,4,1,0.9935
2025-01-07,2025-01-01,S001,Vincom Central,South,Hypermarket,1994,417,0.2093,300555,3.42,87882,110769780,125331435,0.212,513859,0.0041,14864308,0.1186,214,8.0,585661,662964,0.9636,87.1,0.9764,74.3,2,0,1.1315
2025-01-07,2025-01-01,S002,District 7 Hub,South,Supermarket,1147,287,0.2502,231899,3.69,62845,55656172,66555013,0.1975,326120,0.0049,8059812,0.1211,150,16.0,443700,366956,0.9845,87.1,0.9802,71.3,0,1,1.1958
2025-01-07,2025-01-01,S003,Thu Duc Family,South,Supermarket,1525,343,0.2252,327145,4.38,74691,102496748,112210735,0.2089,852802,0.0076,14351753,0.1279,135,7.5,831191,361703,0.9792,91.5,0.9955,76.5,1,1,1.0948
2025-01-07,2025-01-01,S004,Ha Noi Prime,North,Hypermarket,2076,592,0.2854,357804,2.85,125545,186661323,211819968,0.2217,1503922,0.0071,29633614,0.1399,237,6.8,893755,608236,0.9492,86.9,0.9765,72.9,1,1,1.1348
2025-01-07,2025-01-01,S005,Cau Giay Fresh,North,Supermarket,1098,230,0.2091,241439,4.31,56018,52032585,55530970,0.2063,194358,0.0035,7157942,0.1289,120,9.0,462758,371390,0.9514,93.3,0.9776,75.4,2,1,1.0672
2025-01-07,2025-01-01,S006,Hai Phong Gateway,North,Supermarket,1738,408,0.2347,261157,2.89,90366,102547994,106552056,0.2609,863072,0.0081,12903454,0.1211,133,8.8,801143,454800,0.9633,80.9,0.9699,88,2,1,1.039
2025-01-07,2025-01-01,S007,Da Nang Beachside,Central,Supermarket,1554,319,0.2053,253932,3.11,81650,70162856,81004308,0.1848,388821,0.0048,10814075,0.1335,132,4.1,613669,380916,0.9827,94.0,0.9668,66.9,1,1,1.1545
2025-01-07,2025-01-01,S008,Hue Riverside,Central,Convenience Plus,756,202,0.2676,339746,3.61,94112,66875859,68628692,0.2182,356869,0.0052,10857059,0.1582,80,8.6,857859,337040,0.9396,91.6,0.9595,66.3,6,1,1.0262
2025-01-07,2025-01-01,S009,Can Tho Market,South,Convenience Plus,1004,209,0.2079,276290,2.59,106676,55827361,57744610,0.2375,207881,0.0036,8996610,0.1558,86,3.7,671449,284862,0.9675,85.1,0.9762,60.7,4,1,1.0343
2025-01-07,2025-01-01,S010,Bien Hoa Value,South,Supermarket,1515,410,0.2706,248957,3.03,82164,98477064,102072370,0.2179,663470,0.0065,12544694,0.1229,118,10.1,865020,506001,0.9822,93.0,0.9848,66.5,4,1,1.0365
2025-01-08,2025-01-01,S001,Vincom Central,South,Hypermarket,2005,428,0.2136,299996,3.88,77319,110769780,128398288,0.2085,449394,0.0035,14431968,0.1124,201,0,638797,662964,0.951,85.3,0.9732,72.1,3,1,1.1591
2025-01-08,2025-01-01,S002,District 7 Hub,South,Supermarket,1102,251,0.2276,238317,4.54,52493,55656172,59817567,0.1823,364887,0.0061,7112309,0.1189,154,14.5,388426,366956,0.9537,87.9,0.969,64.6,3,1,1.0748
2025-01-08,2025-01-01,S003,Thu Duc Family,South,Supermarket,1673,321,0.1917,313944,3.37,93158,102496748,100776024,0.2036,745743,0.0074,13594686,0.1349,132,9.9,763455,361703,0.9559,86.2,0.9763,75.9,4,1,0.9832
2025-01-08,2025-01-01,S004,Ha Noi Prime,North,Hypermarket,2059,587,0.2852,322879,2.85,113291,186661323,189529973,0.2245,1705770,0.009,23558576,0.1243,220,6.9,861500,608236,0.9708,82.6,0.9729,66.1,4,1,1.0154
2025-01-08,2025-01-01,S005,Cau Giay Fresh,North,Supermarket,1143,221,0.1931,251599,4.03,62432,52032585,55603379,0.2136,244655,0.0044,6750250,0.1214,125,3.4,444827,371390,0.9622,88.9,0.9703,65.8,4,1,1.0686
2025-01-08,2025-01-01,S006,Hai Phong Gateway,North,Supermarket,1977,455,0.2299,269816,3.2,84318,102547994,122766280,0.2566,834811,0.0068,16598001,0.1352,127,7.2,966664,454800,0.9806,92.8,0.976,70.9,3,1,1.1972
2025-01-08,2025-01-01,S007,Da Nang Beachside,Central,Supermarket,1523,299,0.1963,249828,3.17,78810,70162856,74698572,0.2042,261445,0.0035,9867681,0.1321,145,11.5,515163,380916,0.9628,86.9,0.9795,76.8,3,1,1.0646
2025-01-08,2025-01-01,S008,Hue Riverside,Central,Convenience Plus,826,218,0.2643,326400,3.9,83692,66875859,71155200,0.2186,512317,0.0072,10772897,0.1514,89,13.7,799497,337040,0.9406,80.5,0.9634,60.7,9,1,1.064
2025-01-08,2025-01-01,S009,Can Tho Market,South,Convenience Plus,953,184,0.1935,291333,2.48,117473,55827361,53605272,0.236,278747,0.0052,7043733,0.1314,90,9.5,595614,284862,0.963,93.4,0.9829,67.1,2,1,0.9602
2025-01-08,2025-01-01,S010,Bien Hoa Value,South,Supermarket,1690,436,0.2582,253991,3.73,68094,98477064,110740076,0.2224,697662,0.0063,15902275,0.1436,124,12.9,893065,506001,0.9838,89.5,0.9804,80.5,0,0,1.1245
2025-01-09,2025-01-01,S001,Vincom Central,South,Hypermarket,2053,409,0.1991,312109,3.25,96034,110769780,127652581,0.2137,408488,0.0032,17182037,0.1346,219,4.6,582888,662964,0.9659,87.5,0.9685,65.5,1,1,1.1524
2025-01-09,2025-01-01,S002,District 7 Hub,South,Supermarket,1106,255,0.2306,217236,3.86,56279,55656172,55395180,0.2021,343450,0.0062,6381525,0.1152,140,8.6,395680,366956,0.9599,93.3,0.9765,77.6,1,1,0.9953
2025-01-09,2025-01-01,S003,Thu Duc Family,South,Supermarket,1681,377,0.224,356241,4.41,80780,102496748,134302857,0.1957,980411,0.0073,17969722,0.1338,140,11.7,959306,361703,0.9594,84.8,0.9817,67.4,3,0,1.3103
2025-01-09,2025-01-01,S004,Ha Noi Prime,North,Hypermarket,2121,590,0.2781,344482,3.59,95956,186661323,203244380,0.2195,1707253,0.0084,28576160,0.1406,237,14.1,857571,608236,0.9462,87.6,0.9829,75.1,0,1,1.0888
2025-01-09,2025-01-01,S005,Cau Giay Fresh,North,Supermarket,1172,213,0.1819,250439,3.98,62924,52032585,53343507,0.2264,373405,0.007,7580112,0.1421,123,10.5,433687,371390,0.9487,84.8,0.9754,81.3,2,1,1.0252
2025-01-09,2025-01-01,S006,Hai Phong Gateway,North,Supermarket,1867,428,0.2292,272725,4.11,66356,102547994,116726300,0.2582,653667,0.0056,16026521,0.1373,138,7.5,845843,454800,0.9602,89.5,0.9778,75.5,5,1,1.1383
2025-01-09,2025-01-01,S007,Da Nang Beachside,Central,Supermarket,1541,299,0.1938,226736,2.75,82449,70162856,67794064,0.192,305073,0.0045,8555611,0.1262,132,5.9,513591,380916,0.9398,87.9,0.9906,81.4,4,1,0.9662
2025-01-09,2025-01-01,S008,Hue Riverside,Central,Convenience Plus,825,204,0.2469,310516,3.1,100166,66875859,63345264,0.1998,373737,0.0059,9185063,0.145,80,7.3,791816,337040,0.965,85.4,0.9755,57.9,4,1,0.9472
2025-01-09,2025-01-01,S009,Can Tho Market,South,Convenience Plus,1077,206,0.1915,281342,2.73,103056,55827361,57956452,0.2497,243417,0.0042,9035411,0.1559,91,15.7,636884,284862,0.9558,86.2,0.9751,71.6,1,1,1.0381
2025-01-09,2025-01-01,S010,Bien Hoa Value,South,Supermarket,1584,407,0.2569,270318,3.67,73656,98477064,110019426,0.2276,792140,0.0072,14137496,0.1285,116,1.8,948443,506001,0.9678,88.7,0.967,65.4,4,1,1.1172
2025-01-10,2025-01-01,S001,Vincom Central,South,Hypermarket,2091,390,0.1868,310285,2.5,124114,110769780,121011150,0.2044,508247,0.0042,13577451,0.1122,217,4.4,557655,662964,0.9506,92.6,0.9769,69.5,3,1,1.0925
2025-01-10,2025-01-01,S002,District 7 Hub,South,Supermarket,1093,259,0.2373,235179,4.23,55598,55656172,60911361,0.1965,298466,0.0049,8265672,0.1357,144,5.6,422996,366956,0.985,90.0,0.976,72.5,3,1,1.0944
2025-01-10,2025-01-01,S003,Thu Duc Family,South,Supermarket,1616,325,0.2011,328572,4.19,78418,102496748,106785900,0.2048,854287,0.008,14672383,0.1374,125,3.3,854287,361703,0.9891,91.7,0.97,66.3,6,1,1.0418
2025-01-10,2025-01-01,S004,Ha Noi Prime,North,Hypermarket,2270,645,0.2842,336437,2.81,119728,186661323,217001865,0.2184,1475613,0.0068,24955214,0.115,227,11.5,955955,608236,0.95,93.1,0.9786,53.3,3,1,1.1625
2025-01-10,2025-01-01,S005,Cau Giay Fresh,North,Supermarket,1126,215,0.191,253327,3.98,63650,52032585,54465305,0.2071,305006,0.0056,7347370,0.1349,119,8.3,457692,371390,0.9527,89.8,0.9711,63.1,0,1,1.0468
2025-01-10,2025-01-01,S006,Hai Phong Gateway,North,Supermarket,1877,435,0.2318,272013,2.75,98914,102547994,118325655,0.2469,863777,0.0073,14471228,0.1223,123,3.0,961997,454800,0.9811,86.2,0.9697,67.5,3,1,1.1539
2025-01-10,2025-01-01,S007,Da Nang Beachside,Central,Supermarket,1580,320,0.2027,238746,2.57,92897,70162856,76398720,0.1845,458392,0.006,10390226,0.136,134,10.4,570140,380916,0.9593,90.8,0.9699,71.8,7,1,1.0889
2025-01-10,2025-01-01,S008,Hue Riverside,Central,Convenience Plus,913,235,0.2577,327850,3.93,83422,66875859,77044750,0.2214,500791,0.0065,11287056,0.1465,86,9.9,895869,337040,0.9705,90.3,0.979,81.9,3,1,1.1521
2025-01-10,2025-01-01,S009,Can Tho Market,South,Convenience Plus,1079,227,0.2107,284375,3.06,92933,55827361,64553125,0.2309,264668,0.0041,9043893,0.1401,89,9.3,725316,284862,0.9621,83.2,0.9779,79.6,5,1,1.1563
2025-01-10,2025-01-01,S010,Bien Hoa Value,South,Supermarket,1670,425,0.2544,283236,2.69,105292,98477064,120375300,0.2316,782439,0.0065,14300586,0.1188,120,12.8,1003128,506001,0.9818,91.9,0.9719,64.4,0,1,1.2224
2025-01-11,2025-01-01,S001,Vincom Central,South,Hypermarket,2359,459,0.1946,320813,3.61,88868,130591741,147253167,0.2092,515386,0.0035,16889938,0.1147,239,9.6,616122,662964,0.9689,86.7,0.9559,61.9,4,1,1.1276
2025-01-11,2025-01-01,S002,District 7 Hub,South,Supermarket,1381,342,0.2478,232660,2.57,90529,65615698,79569720,0.1848,477418,0.006,10232666,0.1286,143,5.9,556432,366956,0.9796,89.7,0.9652,65.9,0,1,1.2127
2025-01-11,2025-01-01,S003,Thu Duc Family,South,Supermarket,2041,421,0.206,366972,2.49,147378,120838271,154495212,0.2142,880623,0.0057,21830173,0.1413,142,7.6,1087994,361703,0.999,94.7,0.9799,63.5,1,1,1.2785
2025-01-11,2025-01-01,S004,Ha Noi Prime,North,Hypermarket,2661,704,0.2646,345224,4.18,82589,220063876,243037696,0.2116,2163035,0.0089,34730087,0.1429,246,17.9,987958,608236,0.9461,90.0,0.9791,67.2,4,1,1.1044
2025-01-11,2025-01-01,S005,Cau Giay Fresh,North,Supermarket,1272,253,0.1987,275041,3.53,77915,61343679,69585373,0.2057,306176,0.0044,9818496,0.1411,136,7.3,511657,371390,0.9684,90.3,0.9693,82.3,3,1,1.1344
2025-01-11,2025-01-01,S006,Hai Phong Gateway,North,Supermarket,2288,574,0.251,281803,2.82,99930,120898687,161754922,0.2499,841126,0.0052,19814978,0.1225,146,12.7,1107910,454800,0.9848,90.4,0.9817,67.8,1,1,1.3379
2025-01-11,2025-01-01,S007,Da Nang Beachside,Central,Supermarket,1718,369,0.2148,262132,3.88,67560,82718314,96726708,0.1881,338543,0.0035,12081166,0.1249,147,10.7,658005,380916,0.9751,90.6,0.9787,69.5,3,1,1.1694
2025-01-11,2025-01-01,S008,Hue Riverside,Central,Convenience Plus,945,253,0.2679,333447,3.61,92368,78843118,84362091,0.2173,396502,0.0047,12207195,0.1447,84,9.6,1004311,337040,0.9533,85.1,0.9768,76.6,4,1,1.07
2025-01-11,2025-01-01,S009,Can Tho Market,South,Convenience Plus,1143,224,0.1963,285133,3.97,71822,65817520,63869792,0.2464,268253,0.0042,9542147,0.1494,100,13.6,638698,284862,0.9595,88.3,0.9779,68.5,2,1,0.9704
